Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
Kiliwa,Critically endangered,56.0,Yuman–Cochimí,Mexico,"31.25,-115.6166"
Moere,Severely endangered,56.0,Trans–New Guinea,Papua New Guinea,"-4.6038,145.437"
Baure,Critically endangered,55.0,Arawakan,Bolivia (Plurinational State of),"-13.1008,-64.5007"
Southern Haida,Critically endangered,55.0,Language isolate (see text),Canada,"53.2697,-131.9861"
Tlingit (Canada),Critically endangered,55.0,Dené–Yeniseian,Canada,"60.171,-132.7395"
Upper Tanana (United States of America),Critically endangered,55.0,Dené–Yeniseian,United States of America,"62.6867,-141.2182"
Zapotec of Asunción Tlacolulita,Critically endangered,53.0,Oto-Manguean,Mexico,"16.3,-95.7166"
Trumai,Critically endangered,51.0,Language isolate,Brazil,"-11.8807,-53.6009"
Arabela,Severely endangered,50.0,Zaparoan,Peru,"-1.5818,-75.3881"
Arha,Critically endangered,50.0,Austronesian,New Caledonia (France),"-21.3047,165.0146"
Banjima,Severely endangered,50.0,Pama–Nyungan,Australia,"-22.289,119.3774"
Bella Coola,Critically endangered,50.0,Salishan,Canada,"52.3823,-126.7255"
Budong-Budong,Critically endangered,50.0,Austronesian,Indonesia,"-2.0601,119.3074"
Bulgebi,Definitely endangered,50.0,Trans–New Guinea,Papua New Guinea,"-5.7485,146.4532"
Chiquitano (Brazil),Critically endangered,50.0,Language isolate,Brazil,"-17.4345,-58.0627"
Forest Yukagir,Critically endangered,50.0,Yukaghir,Russian Federation,"65.4936,151.0757"
Gorovu,Severely endangered,50.0,Trans–New Guinea,Papua New Guinea,"-4.5,144.6"
Iduh (Lao PDR),Critically endangered,50.0,Sino-Tibetan,Lao People's Democratic Republic,"19.3292,103.3758"
Karaim (Lithuania),Severely endangered,50.0,Turkic,Lithuania,"54.642,24.9499"
Kasong,Critically endangered,50.0,Austroasiatic,"Cambodia, Thailand","12.564,102.529"
Kayupulau,Critically endangered,50.0,Austronesian,Indonesia,"-2.5464,140.725"
Lolak,Critically endangered,50.0,Austronesian,Indonesia,"0.8569,124.0081"
Maku'a,Critically endangered,50.0,Austronesian,Timor-Leste,"-8.4017,127.2271"
Makurap,Severely endangered,50.0,Tupian,Brazil,"-12.1682,-63.0285"
Miriwoong,Critically endangered,50.0,Jarrakan,Australia,"-16.7631,128.9025"
Moraori,Severely endangered,50.0,Trans–New Guinea,Indonesia,"-8.7113,140.7128"
Nakkara,Severely endangered,50.0,Macro-Gunwinyguan,Australia,"-12.1145,134.5825"
Ngarinman,Severely endangered,50.0,Pama–Nyungan,Australia,"-16.6782,129.7485"
Norfolk-Pitcairn (Pitcairn),Vulnerable,50.0,English Creole,Pitcairn  (U.K.),"-24.3721,-128.3203"
Omaha-Ponca,Critically endangered,50.0,Siouan,United States of America,"42.0817,-96.4855"
Omotik,Critically endangered,50.0,Nilo-Saharan,Kenya,"-1.115,35.9143"
Onge,Critically endangered,50.0,Ongan,India,"10.639,92.4938"
Patua,Critically endangered,50.0,Portuguese Creole,China,"22.1632,113.5464"
Paulohi,Critically endangered,50.0,Austronesian,Indonesia,"-3.2721,128.757"
Potawatomi (Kansas),Critically endangered,50.0,Algic,United States of America,"39.3251,-95.8495"
Potawatomi (Michigan),Critically endangered,50.0,Algic,United States of America,"45.0269,-84.1992"
Potawatomi (Oklahoma),Critically endangered,50.0,Algic,United States of America,"35.3135,-96.9255"
Potawatomi (Wisconsin),Critically endangered,50.0,Algic,United States of America,"45.5601,-88.83"
Salas,Severely endangered,50.0,Austronesian,Indonesia,"-3.135,130.5505"
Samray,Critically endangered,50.0,Austroasiatic,"Cambodia, Thailand","13.685,101.5931"
Sapé,Critically endangered,50.0,Arutani–Sape ?,Venezuela (Bolivarian Republic of),"5.0033,-63.5449"
Sentilese,Critically endangered,50.0,Unclassified (presumed to be Ongan),India,"11.5446,92.2576"
Sian,Severely endangered,50.0,Austronesian,Malaysia,"2.3854,114.3354"
Tambotalo,Severely endangered,50.0,Austronesian,Vanuatu,"-15.4655,167.1027"
Tanacross,Critically endangered,50.0,Dené–Yeniseian,United States of America,"64.2159,-145.9643"
Tanaina,Severely endangered,50.0,Dené–Yeniseian,United States of America,"63.3422,-148.8647"
Tanimbili,Severely endangered,50.0,Austronesian,Solomon Islands,"-11.2935,166.5211"
Warumungu,Severely endangered,50.0,Pama–Nyungan,Australia,"-19.5183,133.9453"
Zapotec of San Felipe Tejalapan,Critically endangered,50.0,Oto-Manguean,Mexico,"17.1099,-96.8539"
Tench,Critically endangered,49.0,Austronesian,Papua New Guinea,"-1.6394,150.6939"
Mudburra,Severely endangered,48.0,Pama–Nyungan,Australia,"-16.9727,131.77"
Nunggubuyu,Severely endangered,44.0,Macro-Pama-Nyungan?,Australia,"-13.8807,135.725"
Dumun,Critically endangered,42.0,Trans–New Guinea,Papua New Guinea,"-5.5421,146.0906"
Kudu-Camo,Critically endangered,42.0,Niger–Congo,Nigeria,"11.0166,8.8879"
Asumboa,Severely endangered,40.0,Austronesian,Solomon Islands,"-11.2982,166.4868"
Bunuba,Severely endangered,40.0,Bunuban,Australia,"-17.8951,125.7495"
Chamacoco,Critically endangered,40.0,Zamucoan,"Brazil, Paraguay","-23.0595,-55.6127"
Garrwa,Severely endangered,40.0,Garrwan,Australia,"-17.1197,137.6806"
Gumbaynggirr,Critically endangered,40.0,Pama–Nyungan,Australia,"-30.3349,152.8198"
Maremgi,Definitely endangered,40.0,Tor–Kwerba,Indonesia,"-2.2571,139.5455"
Mono (Western),Critically endangered,40.0,Uto-Aztecan,United States of America,"37.0943,-119.4999"
Southern Tutchone,Critically endangered,40.0,Dené–Yeniseian,Canada,"60.7796,-137.4983"
Tipai (United States of America),Severely endangered,40.0,Yuman,United States of America,"32.6049,-116.4678"
Tofa,Critically endangered,40.0,Turkic,Russian Federation,"53.7324,98.2589"
Udege,Critically endangered,40.0,Tungusic,Russian Federation,"47.6209,136.0903"
Yoki,Severely endangered,40.0,East Geelvink Bay?,Indonesia,"-1.5893,137.9127"
Noy,Critically endangered,36.0,Niger–Congo,Chad,"8.9312,17.8829"
Chulym Turk,Critically endangered,35.0,Turkic,Russian Federation,"57.3354,88.1542"
Kapori,Critically endangered,35.0,North Papuan?,Indonesia,"-3.4,139.7"
Kaqchikel (Mexico),Critically endangered,35.0,Sino-Tibetan,Mexico,"19.4044,-90.0604"
Menominee,Critically endangered,35.0,Algic,United States of America,"44.9356,-88.6144"
Quechua of Pacaraos,Critically endangered,35.0,Quechua,Peru,"-11.2538,-76.8054"
Turaka,Critically endangered,35.0,Trans–New Guinea,Papua New Guinea,"-9.796,149.447"
Barasana (Brazil),Severely endangered,34.0,Tucanoan,Brazil,"0.7909,-68.6425"
Bilakura,Critically endangered,34.0,Trans–New Guinea,Papua New Guinea,"-4.9404,145.5303"
Macuna (Brazil),Vulnerable,32.0,Tucanoan,Brazil,"1.1395,-67.7636"
Jarawa,Critically endangered,31.0,Indo-European,India,"12.6028,92.752"
Kowaki,Critically endangered,31.0,Dené–Yeniseian,Papua New Guinea,"-4.6079,145.4067"
Kri,Severely endangered,31.0,Sino-Tibetan,Lao People's Democratic Republic,"18.25,105"
Mawak,Critically endangered,31.0,Trans–New Guinea,Papua New Guinea,"-4.5819,145.3079"
Alabat Island Agta,Critically endangered,30.0,Austronesian,Philippines,"14.1209,122.0282"
Amahai,Critically endangered,30.0,Austronesian,Indonesia,"-3.3352,128.9314"
Bardi,Severely endangered,30.0,Nyulnyulan,Australia,"-16.9307,122.871"
Cahuilla,Critically endangered,30.0,Uto-Aztecan,United States of America,"33.5404,-116.7436"
Cambap,Critically endangered,30.0,Niger–Congo,Cameroon,"6.4872,11.802"
Carijona,Critically endangered,30.0,Cariban,Colombia,"-1.2743,-70.1147"
Chintaw,Critically endangered,30.0,Sino-Tibetan,China,"24.9263,98.2414"
Comox/Sliammon,Critically endangered,30.0,Salishan,Canada,"49.6795,-124.9542"
Djeoromitxi,Severely endangered,30.0,Macro-Gê,Brazil,"-12.05,-64.6655"
Duriankere,Critically endangered,30.0,Trans–New Guinea,Indonesia,"-1.3896,130.9247"
Goundo,Critically endangered,30.0,Niger–Congo,Chad,"9.4761,16.2652"
Kawucha,Critically endangered,30.0,Sino-Tibetan,Papua New Guinea,"-6.9373,146.1621"
Kwerisa,Critically endangered,30.0,Lakes Plain,Indonesia,"-2.9759,138.153"
Mono (Eastern),Critically endangered,30.0,Uto-Aztecan,United States of America,"37.3674,-118.3953"
Ngalkbun,Severely endangered,30.0,Arnhem,Australia,"-13.5178,134.6264"
Punan Batu,Critically endangered,30.0,Austronesian,Malaysia,"2.6021,114"
Rama,Critically endangered,30.0,Sino-Tibetan,Nicaragua,"11.8847,-83.7995"
Sia Pedee,Critically endangered,30.0,Chocoan,Ecuador,"0.9887,-79.1674"
Ske,Severely endangered,30.0,Sino-Tibetan,Vanuatu,"-15.9085,168.1924"
Valley Yokuts,Severely endangered,30.0,Yok-Utian,United States of America,"36.0582,-119.5241"
Warnman,Severely endangered,30.0,Pama–Nyungan,Australia,"-22.9786,122.7832"
Wik Ngencherr,Severely endangered,30.0,Pama–Nyungan,Australia,"-14.0939,141.8554"
Wiradjuri,Critically endangered,30.0,Pama–Nyungan,Australia,"-34.5608,147.041"
Malinaltepec Tlapanec,Vulnerable,29.0,Niger–Congo,Mexico,"17.2451,-98.6717"
Ahtna,Critically endangered,25.0,Dené–Yeniseian,United States of America,"62.7547,-144.3164"
Bieria,Critically endangered,25.0,Austronesian,Vanuatu,"-16.8045,168.2446"
Caddo,Critically endangered,25.0,Caddoan,United States of America,"35.0985,-98.2603"
Columbian,Critically endangered,25.0,Salishan,United States of America,"48.1764,-119.0523"
Iquito,Critically endangered,25.0,Zaparoan,Peru,"-3.6449,-74.1577"
Kwazá,Critically endangered,25.0,isolate (unclassified),Brazil,"-12.651,-60.4138"
Marrithiyel,Critically endangered,25.0,Western Daly,Australia,"-13.806,130.0451"
Massep,Critically endangered,25.0,North Papuan?,Indonesia,"-1.7575,138.3178"
Mor,Severely endangered,25.0,Trans–New Guinea or language isolate,Indonesia,"-2.8607,132.7697"
Pisamira,Critically endangered,25.0,Tucanoan,Colombia,"1.0656,-70.4388"
Sakurabiat,Severely endangered,25.0,Tupian,Brazil,"-12.967,-61.2652"
Surel,Critically endangered,25.0,Sino-Tibetan,Nepal,"27.6969,86.3058"
Upper Kuskokwim,Critically endangered,25.0,Dené–Yeniseian,United States of America,"63.0091,-154.3889"
Zumaya,Critically endangered,25.0,Afro-Asiatic,Cameroon,"10.5323,14.3591"
Kashaya,Critically endangered,24.0,Hokan?,United States of America,"38.6603,-123.3045"
Kavalan,Critically endangered,24.0,Austronesian,China,"24.7393,121.6996"
Wardaman,Severely endangered,24.0,Language isolate[2],Australia,"-14.9925,131.9293"
Washo,Severely endangered,24.0,Hokan,United States of America,"38.9226,-119.7256"
Kuku Yalanji,Severely endangered,23.0,Pama–Nyungan,Australia,"-15.8148,144.9316"
Sām,Severely endangered,23.0,Sino-Tibetan,Nepal,"27.3595,86.9979"
Southwestern Tlapanec,Vulnerable,23.0,Sino-Tibetan,Mexico,"16.9629,-99.0953"
Alawa,Critically endangered,22.0,Macro-Pama-Nyungan?,Australia,"-16.4676,134.0771"
Tobian,Critically endangered,22.0,Austronesian,Palau,"2.9594,131.8084"
Bara (Brazil),Vulnerable,21.0,Tucanoan,Brazil,"0.3515,-68.9721"
Ixcatec,Critically endangered,21.0,Oto-Manguean,Mexico,"17.8493,-97.181"
Añu,Critically endangered,20.0,Arawakan,Venezuela (Bolivarian Republic of),"11.022,-71.7352"
Barzani Jewish Neo-Aramaic (Israel),Critically endangered,20.0,Afro-Asiatic,Israel,"31.7888,35.1947"
Bom,Severely endangered,20.0,Niger–Congo,Sierra Leone,"7.3188,-11.9915"
Bundjalung,Severely endangered,20.0,Pama-Nyungan,Australia,"-28.9998,152.9077"
Chung (Cambodia),Critically endangered,20.0,Austroasiatic,Cambodia,"10.6875,103.8084"
Dusner,Critically endangered,20.0,Austronesian,Indonesia,"-2.7139,134.3888"
Forest Enets,Critically endangered,20.0,Uralic,Russian Federation,"68.6836,86.2727"
Foya,Critically endangered,20.0,Sino-Tibetan,Indonesia,"-2.4107,138.6996"
Hermit,Critically endangered,20.0,Austronesian,Papua New Guinea,"-2.0869,146.9311"
Jawoyn,Severely endangered,20.0,Arnhem,Australia,"-14.2004,132.55"
Kamasa,Critically endangered,20.0,Trans–New Guinea,Papua New Guinea,"-6.95,146.2"
Kanakanabu,Critically endangered,20.0,Austronesian,China,"23.1463,120.6782"
Kembra,Critically endangered,20.0,Pauwasi,Indonesia,"-3.908,140.3942"
Kilen,Critically endangered,20.0,Tungusic,"China, Russian Federation","47.4689,133.8574"
Kim,Critically endangered,20.0,Niger–Congo,Sierra Leone,"7.2425,-11.9476"
Koko Bera,Severely endangered,20.0,Pama–Nyungan,Australia,"-15.6865,141.5917"
Kulina Páno,Severely endangered,20.0,Panoan,Brazil,"-5.6597,-71.5429"
Leco,Critically endangered,20.0,language isolate,Bolivia (Plurinational State of),"-15.586,-67.9064"
Loun,Critically endangered,20.0,Austronesian,Indonesia,"-2.8717,128.8366"
Mander,Critically endangered,20.0,Tor–Kwerba,Indonesia,"-2.4341,138.7284"
Mangarla,Critically endangered,20.0,Pama–Nyungan,Australia,"-20.159,122.6513"
Maringarr,Critically endangered,20.0,Western Daly,Australia,"-14.1525,129.6166"
Nataoran,Critically endangered,20.0,Austronesian,China,"24.0088,121.5898"
Nez Perce,Critically endangered,20.0,Plateau Penutian,United States of America,"46.4347,-116.8268"
Nisvai,Critically endangered,20.0,Austronesian,Vanuatu,"-16.4492,167.7117"
Nyamal,Severely endangered,20.0,Pama–Nyungan,Australia,"-21.4019,119.3225"
Nyikina,Severely endangered,20.0,Nyulnyulan,Australia,"-18.2613,124.6179"
Panamint,Critically endangered,20.0,Uto-Aztecan,United States of America,"36.4555,-116.8666"
Pite Saami,Critically endangered,20.0,Uralic,"Norway, Sweden","66.0447,17.8857"
Qawasqar,Critically endangered,20.0,Alacalufan,Chile,"-49.6391,-74.3554"
Red Gelao (Viet Nam),Critically endangered,20.0,Kra–Dai,Viet Nam,"23.1666,105.25"
Somyev,Critically endangered,20.0,Niger–Congo,"Cameroon, Nigeria","6.9318,11.5136"
Ume Saami,Critically endangered,20.0,Uralic,Sweden,"65.1091,18.2153"
Usku,Critically endangered,20.0,Pauwasi,Indonesia,"-3.5449,140.7499"
Vote,Critically endangered,20.0,Uralic,Russian Federation,"59.5858,28.4518"
Wajarri,Severely endangered,20.0,Pama–Nyungan,Australia,"-26.8841,116.6748"
Wambaya,Critically endangered,20.0,Mirndi,Australia,"-17.7696,134.923"
Warekena (Brazil),Critically endangered,20.0,Arawakan,Brazil,"0.7909,-68.3789"
White Gelao (Viet Nam),Severely endangered,20.0,Kra–Dai,Viet Nam,"23.2,105.3333"
Mixtec of Tlaltempan,Definitely endangered,19.0,Sino-Tibetan,Mexico,"18.6166,-98.0833"
Uruak,Critically endangered,19.0,Arutani–Sape ?,Venezuela (Bolivarian Republic of),"3.9957,-63.5888"
Pacahuara,Critically endangered,18.0,Panoan,Bolivia (Plurinational State of),"-11.4369,-65.6762"
Ririo,Critically endangered,18.0,Austronesian,Solomon Islands,"-6.91,156.9671"
Ava-Canoeiro,Critically endangered,16.0,Tupian,Brazil,"-14.0847,-48.0418"
Chorotega,Critically endangered,16.0,Sino-Tibetan,Costa Rica,"9.8991,-83.6855"
Ainu (Hokkaido),Critically endangered,15.0,Language isolate or one of the world's primary language families (Okhotsk?),Japan,"43.2612,142.8222"
Jaminjung,Severely endangered,15.0,Mirndi,Australia,"-15.2417,130.5725"
Mwesen,Critically endangered,15.0,Austronesian,Vanuatu,"-13.874,167.5415"
Sechelt,Critically endangered,15.0,Salishan,Canada,"50.0846,-123.7437"
Tanana,Critically endangered,15.0,Dené–Yeniseian,United States of America,"64.605,-149.0625"
Ingalik,Critically endangered,14.0,Dené–Yeniseian,United States of America,"62.1655,-156.3134"
Jingulu,Severely endangered,14.0,Mirndi,Australia,"-17.3716,134.187"
Zapotec of Mixtepe,Critically endangered,14.0,Oto-Manguean,Mexico,"16.2666,-96.3666"
Woria,Critically endangered,13.0,East Geelvink Bay?,Indonesia,"-2.4011,136.4886"
Aruá,Severely endangered,12.0,Tupian,Brazil,"-12.0285,-64.7094"
Han (United States of America),Critically endangered,12.0,Dené–Yeniseian,United States of America,"64.7837,-141.2172"
Hupa,Critically endangered,12.0,Dené–Yeniseian,United States of America,"41.7624,-123.7028"
Karuk,Severely endangered,12.0,Hokan ,United States of America,"41.7929,-123.3763"
Makah,Critically endangered,12.0,Wakashan,United States of America,"48.3658,-124.6118"
Ngaatjatjara,Severely endangered,12.0,Sino-Tibetan,Australia,"-25.1651,127.3535"
Ngaliwuru,Critically endangered,12.0,Mirndi,Australia,"-15.5595,131.0614"
Ofayé,Critically endangered,12.0,Macro-Jê,Brazil,"-21.361,-52.0532"
Umpila,Severely endangered,12.0,Pama–Nyungan,Australia,"-13.0366,143.3386"
Yurok,Critically endangered,12.0,Algic,United States of America,"41.0607,-124.1413"
Kinikinau,Critically endangered,11.0,Arawakan,Brazil,"-21.0685,-56.2765"
Wagiman,Severely endangered,11.0,language isolate[2],Australia,"-14.1845,131.6546"
Achumawi,Critically endangered,10.0,Hokan,United States of America,"40.8816,-122.6715"
Arho,Critically endangered,10.0,Austronesian,New Caledonia (France),"-21.274,165.0503"
Arikara,Critically endangered,10.0,Caddoan,United States of America,"47.648,-101.8327"
Ayizi,Critically endangered,10.0,Sino-Tibetan,China,"24.5964,103.7329"
Bangsa,Critically endangered,10.0,Sino-Tibetan,Vanuatu,"-16.146,167.389"
Ch'orti' (Honduras),Critically endangered,10.0,Mayan,Honduras,"14.9364,-88.865"
Chung (Thailand),Critically endangered,10.0,Austroasiatic,Thailand,"14.4897,99.1661"
Copper Island Aleut,Critically endangered,10.0,mixed Aleut–Russian,Russian Federation,"54.7753,167.5662"
Gros Ventre,Critically endangered,10.0,Algic,United States of America,"48.4824,-108.7639"
Gweno,Critically endangered,10.0,Niger–Congo,United Republic of Tanzania,"-3.7135,37.6501"
Hoti,Critically endangered,10.0,Austronesian,Indonesia,"-3.0143,130.3692"
Hulung,Critically endangered,10.0,Austronesian,Indonesia,"-2.8614,128.5606"
Ibu,Critically endangered,10.0,West Papuan,Indonesia,"1.5269,127.5265"
Iranxe,Critically endangered,10.0,unclassified,Brazil,"-12.6939,-57.843"
Kamarian,Critically endangered,10.0,Austronesian,Indonesia,"-3.4366,128.5345"
Karajarri,Critically endangered,10.0,Pama–Nyungan,Australia,"-19.0205,122.3437"
Karipuna,Definitely endangered,10.0,Tupian,Brazil,"-10.2284,-64.5556"
Katawixi,Critically endangered,10.0,Harákmbut–Katukinan,Brazil,"-8.8416,-66.0937"
Kawaiisu,Critically endangered,10.0,Uto-Aztecan,United States of America,"35.0589,-118.4026"
Khövsgöl Uryangkhay,Critically endangered,10.0,Sino-Tibetan,Mongolia,"50.9722,101.3159"
Krenak,Critically endangered,10.0,Macro-Gê,Brazil,"-19.1937,-41.1527"
Kurrama,Critically endangered,10.0,Pama–Nyungan,Australia,"-21.6383,117.9711"
Lardil,Critically endangered,10.0,Macro-Pama–Nyungan ?,Australia,"-16.5526,139.3176"
Lom,Critically endangered,10.0,Sino-Tibetan,Indonesia,"-1.6751,105.8917"
Lorediakarkar,Critically endangered,10.0,Austronesian,Vanuatu,"-15.1967,167.0498"
Madngele,Critically endangered,10.0,Eastern Daly,Australia,"-13.3789,130.5395"
Malak Malak,Critically endangered,10.0,language isolate,Australia,"-13.7713,130.6384"
Manchu (Amur),Critically endangered,10.0,Tungusic,China,"49.7666,127.5"
Manchu (Nonni),Critically endangered,10.0,Tungusic,China,"48.0083,124.3542"
Mandan,Critically endangered,10.0,Siouan,United States of America,"47.5165,-102.2461"
Marrisyefin,Critically endangered,10.0,Western Daly,Australia,"-13.934,129.8254"
Massalat,Critically endangered,10.0,Nilo-Saharan,Chad,"12.7635,20.5993"
Matanvat,Critically endangered,10.0,Sino-Tibetan,Vanuatu,"-15.8972,167.1947"
Matipu,Critically endangered,10.0,Cariban,Brazil,"-12.2366,-53.1875"
Mawayana (Brazil),Critically endangered,10.0,Arawakan,"Brazil, Suriname","-0.9447,-58.2495"
Munsee (Canada),Critically endangered,10.0,Algic,Canada,"42.57,-81.879"
Naati,Critically endangered,10.0,Sino-Tibetan,Vanuatu,"-16.515,167.4645"
Ngardi,Critically endangered,10.0,Pama-Nyungan,Australia,"-20.6327,128.5839"
Ngbinda,Critically endangered,10.0,Niger–Congo,Democratic Republic of the Congo,"4.6092,27.0812"
Northern Paiute (Idaho),Critically endangered,10.0,Uto-Aztecan,United States of America,"43.0439,-112.4566"
Nusa Laut,Critically endangered,10.0,Austronesian,Indonesia,"-3.6833,128.8"
Oneida (Wisconsin),Critically endangered,10.0,Iroquoian,United States of America,"44.5158,-88.0075"
Onondaga (New York),Critically endangered,10.0,Iroquoian,United States of America,"43.047,-76.1422"
Osage,Critically endangered,10.0,Siouan,United States of America,"36.6683,-96.3316"
Parintintin,Critically endangered,10.0,Tupian,Brazil,"-6.5773,-61.7871"
Pawnee,Critically endangered,10.0,Caddoan,United States of America,"36.3372,-96.8032"
Puari,Critically endangered,10.0,Skou,Papua New Guinea,"-2.8689,141.6577"
Rembarrnga,Critically endangered,10.0,Arnhem,Australia,"-13.3896,133.6706"
Sene,Critically endangered,10.0,Trans–New Guinea,Papua New Guinea,"-6.3753,147.7825"
Sowa,Critically endangered,10.0,Sino-Tibetan,Vanuatu,"-15.8609,168.1842"
Susuami,Critically endangered,10.0,Trans–New Guinea,Papua New Guinea,"-7.2044,146.5493"
Taap,Critically endangered,10.0,Trans–New Guinea,Papua New Guinea,"-6.146,146.3955"
Tape,Critically endangered,10.0,Sino-Tibetan,Vanuatu,"-16.0953,167.3094"
Ter Saami,Critically endangered,10.0,Uralic,Russian Federation,"68.0638,38.7063"
Thao,Critically endangered,10.0,Austronesian,China,"23.8808,120.9206"
Tule-Kaweah Yokuts,Critically endangered,10.0,Yok-Utian,United States of America,"36.0269,-118.7213"
Tundra Enets,Critically endangered,10.0,Uralic,Russian Federation,"71.6973,83.5839"
Wichita,Critically endangered,10.0,Caddoan,United States of America,"35.0647,-98.2788"
Xambioá,Critically endangered,10.0,Macro-Gê,Brazil,"-7.1717,-49.1583"
Yawalapiti,Critically endangered,10.0,Arawakan,Brazil,"-12.1702,-53.3365"
Yiiji,Critically endangered,10.0,Worrorran,Australia,"-15.8458,127.6281"
Arára Shawãdáwa,Critically endangered,9.0,Panoan,Brazil,"-8.581,-72.29"
Kuuku Ya'u,Critically endangered,9.0,Pama–Nyungan,Australia,"-12.0185,142.8112"
Ngandi,Critically endangered,9.0,Arnhem,Australia,"-13.6459,135.2087"
Ngarluma,Critically endangered,9.0,Pama–Nyungan,Australia,"-21.1664,117.3339"
Zaparo,Critically endangered,9.0,Zaparoan,"Ecuador, Peru","-2.2186,-76.5087"
Ongota,Critically endangered,8.0,unclassified,Ethiopia,"5.3207,37.2244"
Ajuru,Severely endangered,8.0,Tupian,Brazil,"-12.0178,-64.7534"
Araki,Critically endangered,8.0,Austronesian,Vanuatu,"-15.6322,166.9413"
Ayapanec,Critically endangered,8.0,Sino-Tibetan,Mexico,"18.2241,-93.1108"
Busuu,Critically endangered,8.0,Niger–Congo,Cameroon,"6.8282,10.1087"
Chamicuro,Critically endangered,8.0,Arawakan,Peru,"-5.5285,-75.5969"
Dumi,Critically endangered,8.0,Sino-Tibetan,Nepal,"27.3095,86.7521"
Kayardild,Critically endangered,8.0,Macro-Pama–Nyungan,Australia,"-17.1197,139.4604"
Munichi,Critically endangered,8.0,Macro-Arawakan,Peru,"-5.8182,-76.1846"
N|uu,Critically endangered,8.0,Tuu,South Africa,"-28.5169,21.4453"
Xetá,Critically endangered,8.0,Tupian,Brazil,"-23.2867,-53.3935"
Kiksht,Critically endangered,7.0,Chinookan,United States of America,"44.2708,-121.2871"
Makolkol,Critically endangered,7.0,Baining or unclassified,Papua New Guinea,"-4.8994,151.6827"
Akuntsu,Critically endangered,6.0,Sino-Tibetan,Brazil,"-13.1169,-61.018"
Anambé,Critically endangered,6.0,Tupian,Brazil,"-2.7674,-49.2297"
Arabana,Critically endangered,6.0,Pama–Nyungan,Australia,"-28.6134,135.8349"
Ipai,Critically endangered,6.0,Yuman,United States of America,"32.9359,-116.868"
Karaim (Western Ukraine),Critically endangered,6.0,Turkic,Ukraine,"50.7538,25.3351"
Kings River Yokuts,Critically endangered,6.0,Yok-Utian,United States of America,"36.9104,-118.9261"
Korana,Critically endangered,6.0,Khoe,South Africa,"-26.9352,24.1254"
Mangarrayi,Critically endangered,6.0,Macro-Gunwinyguan,Australia,"-14.8067,133.8793"
Northern Sierra Miwok,Critically endangered,6.0,Yok-Utian,United States of America,"38.4008,-120.5351"
Abaga,Critically endangered,5.0,Trans–New Guinea,Papua New Guinea,"-6.1883,145.5976"
"Aleut (Western, Commander Islands)",Critically endangered,5.0,Eskimo–Aleut,Russian Federation,"55.171,166.094"
Aqaw Gelao,Critically endangered,5.0,Kra–Dai,China,"28.7447,106.0714"
Aveteian,Critically endangered,5.0,Sino-Tibetan,Vanuatu,"-16.3985,167.4213"
Central Selkup,Critically endangered,5.0,Uralic,Russian Federation,"59.8903,82.0129"
Cocama-Cocamilla (Brazil),Critically endangered,5.0,Tupian,Brazil,"-1.8043,-66.5332"
Dyirbal,Critically endangered,5.0,Pama–Nyungan,Australia,"-18.0205,145.4809"
Gamilaraay,Critically endangered,5.0,Pama–Nyungan,Australia,"-29.7929,149.7106"
Great andamanese,Critically endangered,5.0,Great Andamanese,India,"12.2326,92.9031"
Guató,Critically endangered,5.0,language isolate,Brazil,"-17.644,-57.6562"
Holikachuk,Critically endangered,5.0,Dené–Yeniseian,United States of America,"64.2254,-155.3027"
Iduh (Viet Nam),Critically endangered,5.0,Sino-Tibetan,Viet Nam,"19.4162,104.487"
Isarog Agta,Critically endangered,5.0,Austronesian,Philippines,"13.6805,123.3805"
Itonama,Critically endangered,5.0,Language isolate,Bolivia (Plurinational State of),"-13.6246,-63.5668"
Juma,Critically endangered,5.0,Tupian,Brazil,"-7.4496,-63.8195"
Kalispel,Critically endangered,5.0,Salishan,United States of America,"48.2549,-117.2174"
Kanoê,Critically endangered,5.0,language isolate,Brazil,"-13.1222,-61.051"
Liki,Critically endangered,5.0,Austronesian,Indonesia,"-1.6202,138.738"
Luiseño,Critically endangered,5.0,Uto-Aztecan,United States of America,"33.4622,-117.1269"
Lushootseed,Critically endangered,5.0,Salishan,United States of America,"47.6074,-122.5681"
Manchurian Kirghiz,Critically endangered,5.0,Sino-Tibetan,China,"47.8,124.2"
Mansim,Critically endangered,5.0,West Papuan,Indonesia,"-0.9008,134.0441"
Naman,Critically endangered,5.0,Austronesian,Vanuatu,"-16.1216,167.4337"
Nasarian,Critically endangered,5.0,Austronesian,Vanuatu,"-16.3517,167.4659"
Navwien,Critically endangered,5.0,Sino-Tibetan,Vanuatu,"-16.469,167.4975"
Ndai,Critically endangered,5.0,Niger–Congo,Cameroon,"8.399,14.1641"
Ngalakan,Critically endangered,5.0,Arnhem,Australia,"-14.5729,134.4946"
Nivat,Critically endangered,5.0,Sino-Tibetan,Vanuatu,"-16.1302,167.3835"
Niviar,Critically endangered,5.0,Sino-Tibetan,Vanuatu,"-16.1302,167.3945"
Olrat,Critically endangered,5.0,Sino-Tibetan,Vanuatu,"-14.2796,167.4302"
Oro Win,Critically endangered,5.0,Chapacuran,Brazil,"-11.6683,-65.1379"
Paunaca,Critically endangered,5.0,Sino-Tibetan,Bolivia (Plurinational State of),"-16.573,-61.4355"
