Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Alu,Vulnerable,"1,880",Torricelli; Wapei,Papua New Guinea ,"-3.39, 142.25",-3.39, 142.25
Alu Kurumba,Vulnerable,"~1,000",Dravidian; South Dravidian,India ,"11.35, 76.80",11.35, 76.80
Alune,Vulnerable,"17,200",Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-3.0,128.333333333",-3.0,128.333333333
Aluo,Definitely endangered,"<40,000",Sino-Tibetan; Lolo-Burmese,China ,"25.9368, 102.1839",25.9368, 102.1839
Alutiiq,Severely endangered,200,Eskimo-Aleut; Eskimo; Yupik,USA ,"57.793056, -152.394167",57.793056, -152.394167
Alutor,Severely endangered,"<2,000",Chukotko-Kamchatkan; Chukotkan,Russia ,"61.0,165.0",61.0,165.0
Alyawarr,Vulnerable,"1,664",Pama-Nyungan; Arandic,Australia ,"-22.29152242,135.9637093",-22.29152242,135.9637093
Ama,Vulnerable,450,Left May,Papua New Guinea ,"-4.20, 141.66",-4.20, 141.66
Amahai,Critically endangered,50,Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-3.3352, 128.9314",-3.3352, 128.9314
Amahuaca,Severely endangered,~100,Pano-Tacanan; Mainline,Brazil Peru ,"-10.5,-72.5",-10.5,-72.5
Amal,Definitely endangered,388,Sepik,Papua New Guinea ,"-4.05, 142.00",-4.05, 142.00
Amanab,Vulnerable,"3,500",Border; Waris,Indonesia Papua New Guinea ,"-3.55, 141.18",-3.55, 141.18
AmanayÃ©,Extinct,0?,Tupian; Tupi-Guaranian; Xingu,Brazil ,"-3.7327,-49.1088",-3.7327,-49.1088
Ambakich,Definitely endangered,770,Lower Sepik-Ramu; Ramu; Grass,Papua New Guinea ,"-4.20, 144.25",-4.20, 144.25
Ambele,Vulnerable,"3,600",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"5.868,9.765",5.868,9.765
Ambulas,Vulnerable,"33,000",Sepik; Ndu,Papua New Guinea ,"-3.78, 143.06",-3.78, 143.06
Ampari,Vulnerable,"5,200",Niger-Congo; Dogon; West Dogon,Mali ,"14.257728, -3.90712",14.257728, -3.90712
Amto,Definitely endangered,230,Amto-Musan,Papua New Guinea ,"-4.052936077, 141.3284454",-4.052936077, 141.3284454
Amuesha,Vulnerable,"8,000",Arawakan; Southern Arawakan; Western,Peru ,"-10.5,-75.4166666667",-10.5,-75.4166666667
Amur Nivkh,Severely endangered,<500,Nivkh,Russia ,"53.2684,140.4107",53.2684,140.4107
Amurdak,Critically endangered,5-Mar,Iwaidjan,Australia ,"-11.149603,132.576973",-11.149603,132.576973
Anakalangu,Vulnerable,">25,000",Austronesian; Malayo-Polynesian; Sumba-Hawu,Indonesia ,"-9.576376, 119.586182",-9.576376, 119.586182
Anam,Vulnerable,"1,070",Trans-New Guinea; Madang,Papua New Guinea ,"-4.811839, 145.008545",-4.811839, 145.008545
Andajin,Critically endangered,2,Worrorran; Southern Worrorran,Australia ,"-17.37660823,126.2592854",-17.37660823,126.2592854
Andarum,Definitely endangered,830,Lower Sepik-Ramu; Ramu; Ataitan,Papua New Guinea ,"-4.49, 144.77",-4.49, 144.77
Andi,Vulnerable,"10,000-20,000",Northeast Caucasian; Daghestanian; Andic,Russia ,"42.75,46.25",42.75,46.25
Andio,Vulnerable,"1,700",Austronesian; Malayo-Polynesian; Celebic; Saluan-Banggai,Indonesia ,"-.8514,123.1457",-.8514,123.1457
Andoa,Extinct,Ã˜,Zaparoan,Peru ,"-2.6796,-76.2011",-2.6796,-76.2011
Andoque,Definitely endangered,597,Isolate; South American,Colombia ,"-0.666666666667,-72.0",-0.666666666667,-72.0
Anfillo,Definitely endangered,~500,Afro-Asiatic; Omotic; Gonga,Ethiopia ,"8.5049,34.7415",8.5049,34.7415
Angor,Vulnerable,"1,250",Senagi,Papua New Guinea ,"-3.72, 141.20",-3.72, 141.20
Angoram,Vulnerable,"6,514",Lower Sepik-Ramu; Lower Sepik,Papua New Guinea ,"-4.08, 144.03",-4.08, 144.03
Animere,Severely endangered,30,Niger-Congo; Atlantic-Congo; Kwa,Ghana ,"7.6129,.4064",7.6129,.4064
Anindilyakwa,Vulnerable,"~1,500",Gunwinyguan; East Arnhem,Australia ,"-14.05312996,136.6124148",-14.05312996,136.6124148
Anmatyerre,Vulnerable,501-1000,Pama-Nyungan; Arandic,Australia ,"-21.98277477,133.4290339",-21.98277477,133.4290339
Anong,Critically endangered,~ 4040 (40 in China),Sino-Tibetan; Nungish,China Myanmar ,"27.100, 98.700",27.100, 98.700
Anor,Definitely endangered,450,Lower Sepik-Ramu; Ramu; Middle Ramu,Papua New Guinea ,"-4.98, 144.80",-4.98, 144.80
Antakirinya,Severely endangered,50,Pama-Nyungan; Wati,Australia ,"-27.05245189,134.4007513",-27.05245189,134.4007513
Antekerrepenh,Critically endangered,Very few,Pama-Nyungan; Arandic,Australia ,"-23.23189623,139.9715594",-23.23189623,139.9715594
Anuki,Vulnerable,574,Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip,Papua New Guinea ,"-9.6522,149.7656",-9.6522,149.7656
Anus,Definitely endangered,320,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Indonesia ,"-2.1268, 139.5126",-2.1268, 139.5126
Anuta,Definitely endangered,up to 340,Austronesian; Malayo-Polynesian; Oceanic; Polynesian,Solomon Islands ,"-11.611, 169.85",-11.611, 169.85
Ap Ma,Vulnerable,"6,500",Isolate,Papua New Guinea ,"-4.35, 144.09",-4.35, 144.09
ApalaÃ­,Definitely endangered,317,Cariban,Brazil ,"0.0,-54.0",0.0,-54.0
Apatani,Vulnerable,"~14,000",Sino-Tibetan; Tani,India ,"27.5,93.75",27.5,93.75
ApiakÃ¡,Extinct,Ã˜,Tupian; Tupi-Guaranian; Tupi-Kawahib,Brazil ,"-11.1519,-57.3113",-11.1519,-57.3113
ApinayÃ©,Vulnerable,"1,500",Jean; Northern Je,Brazil ,"-5.5,-48.0",-5.5,-48.0
ApurinÃ¡,Definitely endangered,~400,Arawakan; Southern Arawakan; Southern Outlier,Brazil ,"-9.0,-67.0",-9.0,-67.0
Aputai,Definitely endangered,150,Austronesian; Malayo-Polynesian; Timor,Indonesia ,"-7.6511, 126.4086",-7.6511, 126.4086
Arabela,Critically endangered,30,Zaparoan,Peru ,"-2.0,-75.1666666667",-2.0,-75.1666666667
Aragonese,Definitely endangered,"<10,000",Indo-European; Italic; Romance; Western Romance,Spain ,"42.2935,-.4394",42.2935,-.4394
Araki,Critically endangered,15,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.632, 166.952",-15.632, 166.952
Aranadan,Definitely endangered,200,Dravidian; South Dravidian,India ,"11.35, 75.8",11.35, 75.8
Araona,Definitely endangered,111,Pano-Tacanan; Takana,Bolivia ,"-12.4473,-68.1372",-12.4473,-68.1372
Arapaho,Severely endangered,"~1,000",Algic; Algonquian; Arapahoan,USA ,"43.0139,-108.8214",43.0139,-108.8214
ArawetÃ©,Definitely endangered,339,Tupian; Tupi-Guaranian; Xingu,Brazil ,"-5.1347,-52.3388",-5.1347,-52.3388
Arawum,Severely endangered,60,Trans-New Guinea; Madang,Papua New Guinea ,"-5.5093,145.8929",-5.5093,145.8929
ArbÃ«reshÃ«,Vulnerable,"<100,000",Indo-European; Albanian; Tosk,Italy ,"40.9321,14.8645",40.9321,14.8645
Arbore,Vulnerable,"4,441",Afro-Asiatic; Cushitic; Lowland East Cushitic,Ethiopia ,"5.0,36.75",5.0,36.75
Archi,Vulnerable,"1,237",Northeast Caucasian; Daghestanian; Lezgic,Russia ,"42.0,46.8333333333",42.0,46.8333333333
Arem,Critically endangered,<100,Austro-Asiatic; Vietic; Pong-Chut,Vietnam Laos ,"18.1771,105.3369",18.1771,105.3369
Argobba,Vulnerable,"10,860",Afro-Asiatic; Semitic; Ethiopic,Ethiopia ,"10.5958,39.9792",10.5958,39.9792
Arguni,Definitely endangered,150,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-2.6632, 132.5418",-2.6632, 132.5418
ArhÃ¢,Severely endangered,35,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.3047,165.0146",-21.3047,165.0146
ArhÃ¶,Severely endangered,62,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.274,165.0503",-21.274,165.0503
Ari,Severely endangered,50,Trans-New Guinea; Gogodalic,Papua New Guinea ,"-8,142.40",-8,142.40
Ariba,Critically endangered,2,Pama-Nyungan; Paman,Australia ,"-17.120653,141.833361",-17.120653,141.833361
Arifama-Miniafia,Vulnerable,"3,470",Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip,Papua New Guinea ,"-9.518239975,149.349884",-9.518239975,149.349884
ArikapÃº,Critically endangered,1,Jabutian,Brazil ,"-12.0527,-64.7259",-12.0527,-64.7259
Arikara,Critically endangered,<10,Caddoan,USA ,"47.648,-101.8327",47.648,-101.8327
Aromanian,Vulnerable,"350,000",Indo-European; Italic; Romance; Eastern Romance,Bulgaria Romania Greece Macedonia Albania Bosnia and Herzegovina Serbia ,"40.2292,21.1376",40.2292,21.1376
Arta,Critically endangered,11,Austronesian; Malayo-Polynesian; Northern Luzon,Philippines ,"16.216, 121.599",16.216, 121.599
Aru,Definitely endangered,270,Torricelli; Palei; Mol; Oru,Papua New Guinea ,"-3.45706296, 142.539093",-3.45706296, 142.539093
AruÃ¡,Critically endangered,5,Tupian; Mondean,Brazil ,"-12.0285,-64.7094",-12.0285,-64.7094
Aruamu,Vulnerable,"5,350",Lower Sepik-Ramu; Ramu; Lower Ramu,Papua New Guinea ,"-4.29, 144.84",-4.29, 144.84
Aruek,Definitely endangered,614,Torricelli; Kombian,Papua New Guinea ,"-3.38, 142.72",-3.38, 142.72
Aruop,Definitely endangered,700,Torricelli; Palei,Papua New Guinea ,"-3.46, 142.48",-3.46, 142.48
Arvanitika,Vulnerable,"50,000",Indo-European; Albanian; Tosk,Greece ,"38.1863, 23.6096",38.1863, 23.6096
As,Definitely endangered,230,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-.736,131.7727",-.736,131.7727
Asaba,Vulnerable,145,Isolate,Papua New Guinea ,"-5.0526,141.9818",-5.0526,141.9818
AshÃ©ninka,Vulnerable,"20,000",Arawakan; Southern Arawakan; Campa,Brazil Peru ,"-10.933333, -75.266667",-10.933333, -75.266667
Ashkun,Vulnerable,"<7,000",Indo-European; Indo-Iranian; Nuristani,Afghanistan ,"34.9973,71.0746",34.9973,71.0746
Ashtiani,Vulnerable,"21,100",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran ,"34.4861,51.0562",34.4861,51.0562
Assangori,Vulnerable,"23,500",Taman,Sudan Chad ,"13.75,21.5",13.75,21.5
Asumboa,Severely endangered,10,Austronesian; Malayo-Polynesian; Oceanic; Temotu,Solomon Islands ,"-11.2982,166.4868",-11.2982,166.4868
AsunciÃ³n Mixtepec Zapotec,Severely endangered,100,Otomanguean; Zapotecan,Mexico ,"16.88, -96.87",16.88, -96.87
Asuri,Vulnerable,"~7,000",Austro-Asiatic; Munda; North Munda; Kherwarian,India ,"22.4719,84.9023",22.4719,84.9023
AsurinÃ­ of XingÃº,Definitely endangered,125,Tupian; Tupi-Guaranian; Xingu,Brazil ,"-3.9095,-52.4707",-3.9095,-52.4707
Ata,Critically endangered,4,Austronesian; Malayo-Polynesian; Greater Central Philippine; Bisayan,Philippines ,"9.6081,122.9155",9.6081,122.9155
Atampaya,Critically endangered,4,Pama-Nyungan; Paman,Australia ,"-11.48211057,142.3743784",-11.48211057,142.3743784
Athpariya,Vulnerable,"< 3,658",Sino-Tibetan; Kiranti,Nepal ,"26.952,87.3399",26.952,87.3399
Ati (Philippines),Vulnerable,"1,500",Austronesian; Malayo-Polynesian,Philippines ,"11.15, 122.51",11.15, 122.51
Atong (Cameroon),Vulnerable,"4,200",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"6.044967, 9.748787",6.044967, 9.748787
Atong (India),Vulnerable,unknown,Sino-Tibetan; Brahmaputran,India ,"25.2844,91.1755",25.2844,91.1755
Attikamek,Vulnerable,"~3,000",Algic; Algonquian; Cree-Montagnais,Canada ,"48.0,-74.0",48.0,-74.0
Au,Vulnerable,"4,200",Torricelli; Wapei,Papua New Guinea ,"-3.6, 142.1",-3.6, 142.1
Aulua,Definitely endangered,750,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.36, 167.70",-16.36, 167.70
Austral,Vulnerable,"8,000",Austronesian; Malayo-Polynesian; Oceanic; Polynesian,French Polynesia ,"-23.3775,-149.4909",-23.3775,-149.4909
Australian Sign Language,Vulnerable,"6,500",Sign Language; Australian,Australia ,"-35.3075, 149.124417",-35.3075, 149.124417
Auwe,Definitely endangered,270,Border; Waris,Papua New Guinea ,"-3.34, 141.25",-3.34, 141.25
Auye,Definitely endangered,350,Trans-New Guinea; Paniai Lakes,Indonesia ,"-3.5627,135.9915",-3.5627,135.9915
AvÃ¡,Severely endangered,16,Tupian; Tupi-Guaranian; Teneteharan,Brazil ,"-14.0847,-48.0418",-14.0847,-48.0418
Avava,Vulnerable,700,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.184, 167.477",-16.184, 167.477
Aveteian,Severely endangered,50,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.33, 167.52",-16.33, 167.52
Awa Pit,Vulnerable,"<17,464",Barbacoan; Northern Barbacoan,Colombia Ecuador ,"1.5,-78.25",1.5,-78.25
Awakateko,Vulnerable,"16,272",Mayan; Mamean,Guatemala ,"15.4166666667,-91.3333333333",15.4166666667,-91.3333333333
Awar,Severely endangered,"<1,153",Lower Sepik-Ramu; Ramu; Lower Ramu,Papua New Guinea ,"-4.14, 144.84",-4.14, 144.84
Awbono,Vulnerable,~100,Bayono-Awbono,Indonesia ,"-5.06, 139.72",-5.06, 139.72
Aweer,Definitely endangered,<200,Afro-Asiatic; Cushitic; Lowland East Cushitic,Kenya Somalia ,"-.8294,40.8142",-.8294,40.8142
Awera,Definitely endangered,100,Lakes Plain,Indonesia ,"-2.7084, 136.0395",-2.7084, 136.0395
AwetÃ­,Definitely endangered,170,Tupian,Brazil ,"-12.2053,-53.3705",-12.2053,-53.3705
Awiakay,Vulnerable,300,Arafundi,Papua New Guinea ,"-4.7, 143.6",-4.7, 143.6
Awjilah,Vulnerable,"< 2,000",Afro-Asiatic; Berber,Libya ,"26.6278,24.5214",26.6278,24.5214
Awngthim,Extinct,No known L1 speakers,Pama-Nyungan; Paman,Australia ,"-12.587833, 142.023835",-12.587833, 142.023835
Awtuw,Definitely endangered,400,Sepik; Ram,Papua New Guinea ,"-3.58, 142.50",-3.58, 142.50
Awun,Definitely endangered,384,Sepik; Yellow River,Papua New Guinea ,"-3.80, 142.00",-3.80, 142.00
Awyi,Definitely endangered,400,Border; Taikat,Indonesia ,"-2.91666666667, 140.583333333",-2.91666666667, 140.583333333
Ayacucho Quechua,Vulnerable,"850,000",Quechuan; Peripheral Quechua; Chinchay,Peru ,"-13.85, -74.32",-13.85, -74.32
Ayapanec Zoque,Critically endangered,4,Mixe-Zoquean; Zoquean,Mexico ,"18.223405, -93.111446",18.223405, -93.111446
Ayapathu,Critically endangered,6,Pama-Nyungan; Paman,Australia ,"-14.47173612,143.2934448",-14.47173612,143.2934448
Ayi,Definitely endangered,430,Sepik; Tama,Papua New Guinea ,"-3.96, 142.41",-3.96, 142.41
Aymara,Vulnerable,"<1,471,256",Aymaran,Peru Argentina Bolivia Chile ,"-16.515304, -68.246467",-16.515304, -68.246467
Ayoquesco,Definitely endangered,880,Otomanguean; Zapotecan,Mexico ,"16.66, -96.86",16.66, -96.86
Ayoreo,Vulnerable,"3,154",Zamucoan,Bolivia Paraguay ,"-18.719,-59.6228",-18.719,-59.6228
Ayu,Severely endangered,only in the hundreds,Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau,Nigeria ,"9.293779, 8.615738",9.293779, 8.615738
Baan,Vulnerable,"<5,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"4.649881, 7.282008",4.649881, 7.282008
Bade,Vulnerable,"~250,000",Afro-Asiatic; Chadic; West Chadic,Nigeria ,"12.8333333333,10.5",12.8333333333,10.5
BÃ¤di Kanum,Severely endangered,10,Morehead-Upper Maro,Indonesia ,"-8.83333333333,140.75",-8.83333333333,140.75
Badjiri,Critically endangered,~2,Pama-Nyungan; Karnic,Australia ,"-28.71870395,144.8719484",-28.71870395,144.8719484
Badyara,Vulnerable,">12,000",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal Guinea Guinea-Bissau ,"12.4043,-13.5736",12.4043,-13.5736
Baga Binari,Vulnerable,"3,000",Niger-Congo; Atlantic-Congo; Mansoanka-Fore-Mboteni,Guinea ,"10.4013,-14.4799",10.4013,-14.4799
Baga Koga,Vulnerable,"< 5,000",Niger-Congo; Atlantic-Congo; Mel,Guinea ,"10.026644,-14.040625",10.026644,-14.040625
Baga Manduri,Vulnerable,"4,000",Niger-Congo; Atlantic-Congo; Mel,Guinea ,"10.835666, -14.542517",10.835666, -14.542517
Baga Mboteni,Vulnerable,"< 4,900",Niger-Congo; Atlantic-Congo; Mansoanka-Fore-Mboteni,Guinea ,"10.7415,-14.5513",10.7415,-14.5513
Baga Sitemu,Vulnerable,"4,000",Niger-Congo; Atlantic-Congo; Mel,Guinea ,"10.5,-14.5",10.5,-14.5
Baghati,Vulnerable,"<4,000",Indo-European; Indo-Iranian; Indo-Aryan; Northern Zone,India ,"31.194, 77.0471",31.194, 77.0471
Bagupi,Definitely endangered,58,Trans-New Guinea; Madang,Papua New Guinea ,"-5.0454, 145.5822",-5.0454, 145.5822
Bagvalal,Vulnerable,"4,000-6,000",Northeast Caucasian; Daghestanian; Andic,Russia ,"42.5833333333,46.1666666667",42.5833333333,46.1666666667
Bahinemo,Vulnerable,700,Sepik; Sepik Hill; Central Sepik Hill,Papua New Guinea ,"-4.56, 142.83",-4.56, 142.83
Bahonsuai,Definitely endangered,200,Austronesian; Malayo-Polynesian; Celebic; Bungku-Tolaki,Indonesia ,"-2.2186,121.6845",-2.2186,121.6845
Bai,Vulnerable,"2,500",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,South Sudan ,"8.0592,25.5102",8.0592,25.5102
Baibai,Definitely endangered,271,Baibai-Fas,Papua New Guinea ,"-3.463972092, 141.358078",-3.463972092, 141.358078
Baikeno,Vulnerable,"20,000",Austronesian; Malayo-Polynesian; Timor,East Timor ,"-9.33, 124.26",-9.33, 124.26
Baima,Vulnerable,10000,Sino-Tibetan; Tibeto-Kanauri,China ,"33.1531,103.8696",33.1531,103.8696
Bainouk-Gunyaamolo,Vulnerable,"~6,000",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal Gambia ,"12.7421,-16.1141",12.7421,-16.1141
Bainouk-Samik,Vulnerable,"1,850",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal ,"12.5733,-16.2652",12.5733,-16.2652
BaÃ¯nounk GubÃ«eher,Vulnerable,"1,100",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal ,"12.531272, -16.353248",12.531272, -16.353248
Bajelani,Vulnerable,"20,000",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran Iraq ,"35.4259,46.2551",35.4259,46.2551
"Baka (East Region, Cameroon)",Vulnerable,"30,000-50,000",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Gabon Cameroon ,"2.58333333333,13.5833333333",2.58333333333,13.5833333333
BakairÃ­,Definitely endangered,900,Cariban; Pekodian,Brazil ,"-14.0,-55.0",-14.0,-55.0
Baki,Definitely endangered,150,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.7013,168.145",-16.7013,168.145
Bakole,Definitely endangered,300,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"4.5764,8.8439",4.5764,8.8439
Bakpinka,Vulnerable,"4,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"5.3644,8.2397",5.3644,8.2397
Baldemu,Critically endangered,<3,Afro-Asiatic; Chadic; Biu-Mandara,Cameroon ,"10.5742,14.5623",10.5742,14.5623
Bali,Vulnerable,1000,Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Nigeria ,"7.859380, 10.970208",7.859380, 10.970208
Balkan Gagauz Turkish,Vulnerable,"331,000",Turkic; Oghuz,Turkey Bulgaria Macedonia ,"41.4633,22.6977",41.4633,22.6977
Balkan Romani,Vulnerable,"611,800",Indo-European; Indo-Iranian; Indo-Aryan; Central Zone,Turkey Germany Russia Ukraine Bulgaria Romania Lithuania France Iran Italy Greece Macedonia Moldova United Kingdom Poland Czech Republic Netherlands Switzerland Finland Austria Croatia Latvia Slovakia Hungary Albania Belarus Bosnia and Herzegovina Slovenia Serbia Montenegro ,"42.6666666667,21.1666666667",42.6666666667,21.1666666667
Balti,Vulnerable,"270,000 (Pakistan); 337,000 (Worldwide)",Sino-Tibetan; Bodish,Pakistan India ,"35.900731,74.409599",35.900731,74.409599
Baltic Romani,Vulnerable,"58,460",Indo-European; Indo-Iranian; Indo-Aryan; Central Zone,Turkey Germany Russia Ukraine Bulgaria Romania Lithuania France Italy Greece Macedonia United Kingdom Poland Czech Republic Netherlands Switzerland Finland Austria Croatia Latvia Slovakia Hungary Albania Belarus Bosnia and Herzegovina Slovenia Serbia Montenegro ,"60.0,38.0",60.0,38.0
Bana,Vulnerable,"23,000",Afro-Asiatic; Chadic; Biu-Mandara,Cameroon ,"10.4166666667,13.5833333333",10.4166666667,13.5833333333
Banaro,Vulnerable,"2,569",Isolate,Papua New Guinea ,"-4.57, 144.33",-4.57, 144.33
Bandial,Vulnerable,"~7,000",Niger-Congo; Atlantic-Congo; Central Atlantic,Senegal ,"12.5317,-16.1553",12.5317,-16.1553
Bandjalang,Severely endangered,a few,Pama-Nyungan; Bandjalangic,Australia ,"-28.617377, 153.004160",-28.617377, 153.004160
Bangani,Vulnerable,"12,000",Indo-European; Indo-Iranian; Indo-Aryan; Northern Zone,India ,"29.8692, 79.0686",29.8692, 79.0686
Bangka,Critically endangered,50,Austronesian; Malayo-Polynesian; Malayo-Chamic; Malayic,Indonesia ,"-2.335839,106.038567",-2.335839,106.038567
Baniwa,Vulnerable,">9,554?",Arawakan; Northern Arawakan; Upper Amazon,Brazil Colombia Venezuela ,"2.66666666667,-66.8333333333",2.66666666667,-66.8333333333
Bankagooma,Vulnerable,"6,000",Niger-Congo; Mande; Western Mande,Mali ,"11.4261,-5.6744",11.4261,-5.6744
Bankan Tey,Vulnerable,"1,320",Niger-Congo; Dogon; Nangan,Mali ,"15.1, -2.9",15.1, -2.9
Bankon,Vulnerable,"12,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"4.41666666667,9.58333333333",4.41666666667,9.58333333333
Bantawa,Vulnerable,"371,056",Sino-Tibetan; Kiranti,Nepal ,"27.0994,87.0048",27.0994,87.0048
BarÃ¡,Definitely endangered,130,Tucanoan; Eastern Tucanoan,Brazil Colombia ,"0.333333333333,-70.25",0.333333333333,-70.25
Baraba Tatar,Critically endangered,"<8,000",Turkic; Kipchak,Russia ,"55.149606, 78.330788",55.149606, 78.330788
Barain,Vulnerable,"4,100",Afro-Asiatic; Chadic; East Chadic,Chad ,"11.06677,17.933586",11.06677,17.933586
Baram,Critically endangered,53,Sino-Tibetan; Tibeto-Kanauri,Nepal ,"28.041,84.629",28.041,84.629
Barambu,Vulnerable,"25,600",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Democratic Republic of the Congo ,"3.5,27.0",3.5,27.0
Baras,Definitely endangered,250,Austronesian; Malayo-Polynesian; Celebic; Kaili-Pamona,Indonesia ,"-1.8838,119.3774",-1.8838,119.3774
Barasano,Vulnerable,"1,924",Tucanoan; Eastern Tucanoan,Brazil Colombia ,"-0.166666666667,-70.6666666667",-0.166666666667,-70.6666666667
Bardi,Critically endangered,<5,Nyulnyulan; Western Nyulnyulan,Australia ,"-16.50302678,122.9331577",-16.50302678,122.9331577
BarÃ©,Critically endangered,2,Arawakan; Northern Arawakan; Upper Amazon,Brazil Venezuela ,"1.0,-67.0",1.0,-67.0
BarÃ­,Vulnerable,"4,000",Chibchan; Magdalenic,Colombia Venezuela ,"9.0,-73.0",9.0,-73.0
Barrow Point,Critically endangered,1,Pama-Nyungan; Paman,Australia ,"-14.46601552,144.4487843",-14.46601552,144.4487843
Bartangi,Vulnerable,"2,425",Indo-European; Indo-Iranian; Iranian; Eastern Iranian,Tajikistan ,"38.219736,72.11835",38.219736,72.11835
Bashkardi,Vulnerable,"7,030",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran ,"28.5169,57.7551",28.5169,57.7551
Basketo,Vulnerable,"~60,000",Afro-Asiatic; Omotic; Ometo,Ethiopia ,"6.566667, 36.266667",6.566667, 36.266667
Bassa-Kontagora,Critically endangered,10,Niger-Congo; Atlantic-Congo; Benue-Congo; Kainji,Nigeria ,"10.495914, 5.562996",10.495914, 5.562996
Batek,Definitely endangered,~960,Austro-Asiatic; Aslian; North Aslian; Menraq-Batek,Malaysia ,"4.6695,102.5051",4.6695,102.5051
Bateri,Vulnerable,"28,251 (Pakistan); 29,051 (Worldwide)",Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone,Pakistan India ,"34.9073,72.8675",34.9073,72.8675
Baá¹­á¸¥ari,Severely endangered,<100,Afro-Asiatic; Semitic; Modern South Arabian,Yemen Oman ,"18.0,56.0",18.0,56.0
Bati (Cameroon),Definitely endangered,800,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"4.2012,10.7858",4.2012,10.7858
Bati (Indonesia),Vulnerable,"3,500",Austronesian; Malayo-Polynesian; Central Maluku,Indonesia ,"-3.61, 130.81",-3.61, 130.81
Batjamalh,Severely endangered,<12,Isolate; Australian,Australia ,"-13.137203,130.284308",-13.137203,130.284308
Batsbi,Severely endangered,800,Northeast Caucasian; Nakh,Georgia ,"42.045117, 45.302274",42.045117, 45.302274
Baure,Critically endangered,20,Arawakan; Southern Arawakan; Southern Outlier,Bolivia ,"-13.0833333333,-64.1666666667",-13.0833333333,-64.1666666667
Bawm Chin,Vulnerable,unknown,Sino-Tibetan; Kukish,India Myanmar Bangladesh ,"22.5,92.25",22.5,92.25
Bayono,Vulnerable,~100,Bayono-Awbono,Indonesia ,"-5.22, 139.62",-5.22, 139.62
Bayot,Vulnerable,"17,150",Niger-Congo; Atlantic-Congo; Central Atlantic,Senegal Gambia Guinea-Bissau ,"12.4218,-16.4149",12.4218,-16.4149
Bayso,Vulnerable,"~3,200",Afro-Asiatic; Cushitic; Lowland East Cushitic,Ethiopia ,"6.25,37.75",6.25,37.75
Bearlake,Definitely endangered,580,Athabaskan-Eyak-Tlingit; Athabaskan;,Canada ,"65.2161, -123.4362",65.2161, -123.4362
Bedoanas,Definitely endangered,180,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-2.7263,132.5582",-2.7263,132.5582
Beeke,Definitely endangered,"<1,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Democratic Republic of the Congo ,"0.9997,28.7951",0.9997,28.7951
Beezen,Vulnerable,750,Niger-Congo; Atlantic-Congo; Benue-Congo; Jukunoid; Yukuben-Kuteb,Cameroon ,"6.7518,10.0744",6.7518,10.0744
