Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Kung,Definitely endangered,600-800,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"6.5227,10.1074",6.5227,10.1074
Kunjen,Critically endangered,20-25,Pama-Nyungan; Paman,Australia ,"-16.54391507,143.0454776",-16.54391507,143.0454776
Kuot,Vulnerable,"2,400",Isolate; Pacific,Papua New Guinea ,"-3.05,151.5",-3.05,151.5
Kurichiya,Definitely endangered,"29,400",Dravidian,India ,"11.82, 75.52",11.82, 75.52
Kurrama,Critically endangered,<10,Pama-Nyungan; Ngayarta,Australia ,"-22.86592473,116.6221125",-22.86592473,116.6221125
Kursav,Critically endangered,10,Trans-New Guinea; Madang,Papua New Guinea ,"-5.657,145.5001",-5.657,145.5001
Kurtjar,Critically endangered,2-Jan,Pama-Nyungan; Paman,Australia ,"-17.31160269,141.6480703",-17.31160269,141.6480703
Kurtokha,Vulnerable,"15,000",Sino-Tibetan; Bodish,Bhutan ,"27.664, 91.176",27.664, 91.176
Kuruaya,Extinct,Ã˜,Tupian; Mundurukun,Brazil ,"-5.0033,-53.9208",-5.0033,-53.9208
Kusunda,Critically endangered,1,Isolate; South Asian,Nepal ,"28.0,84.6666666667",28.0,84.6666666667
Kuthant,Critically endangered,3,Pama-Nyungan; Paman,Australia ,"-17.62807482,140.8636671",-17.62807482,140.8636671
Kuuk Thaayorre,Definitely endangered,150,Pama-Nyungan; Paman,Australia ,"-14.818,141.847",-14.818,141.847
Kuuk-Yak,Extinct,No known L1 speakers.,Pama-Nyungan; Paman,Australia ,"-14.876415, 141.729616",-14.876415, 141.729616
Kuuku-Ya'u,Severely endangered,<100,Pama-Nyungan; Paman,Australia ,"-12.610572, 143.136956",-12.610572, 143.136956
Kuvi,Vulnerable,"246,513",Dravidian; South Dravidian,India ,"18.75,82.6666666667",18.75,82.6666666667
Kuwaataay,Vulnerable,"6,210",Niger-Congo; Atlantic-Congo; Central Atlantic,Senegal ,"12.4204,-16.7596",12.4204,-16.7596
Kuwema,Severely endangered,10,Northern Daly,Australia ,"-12.481775,130.670058",-12.481775,130.670058
Kuyani,Extinct,0?,Pama-Nyungan; Thura-Yura,Australia ,"-30.50201585, 138.1018386",-30.50201585, 138.1018386
Kven Finnish,Severely endangered,"1,500-10,000 (estimated)",Uralic; Finnic,Norway ,"69.38, 29.54",69.38, 29.54
KwakÌ“wala,Definitely endangered,195,Wakashan; Northern Wakashan,Canada ,"51.2000000, -126.9400000",51.2000000, -126.9400000
Kwanga,Vulnerable,"7,520",Sepik; Nukuma,Papua New Guinea ,"-3.74, 142.71",-3.74, 142.71
Kwarandzyey,Definitely endangered,~3000,Songhay,Algeria ,"29.520891, -3.268433",29.520891, -3.268433
Kwaruwi Kwundi,Vulnerable,"~3,300",Sepik; Ndu,Papua New Guinea ,"-3.99, 143.40",-3.99, 143.40
Kwaza,Severely endangered,25,Isolate; South American,Brazil ,"-12.651,-60.4138",-12.651,-60.4138
Kwegu,Definitely endangered,~300,Surmic; Southeast Surmic,Ethiopia ,"7.0,36.0833333333",7.0,36.0833333333
Kwer,Severely endangered,100,Trans-New Guinea; Ok,Indonesia ,"-5.02, 140.01",-5.02, 140.01
Kwerisa,Severely endangered,32,Lakes Plain,Indonesia ,"-2.9759,138.153",-2.9759,138.153
Kwoma,Vulnerable,"2,925",Sepik; Nukuma,Papua New Guinea ,"-4.09, 142.66",-4.09, 142.66
Kwomtari,Vulnerable,<800,Kwomtari-Nai,Papua New Guinea ,"-3.51, 141.49",-3.51, 141.49
Laal,Definitely endangered,<500,Isolate,Chad ,"10.0,17.6666666667",10.0,17.6666666667
Label,Definitely endangered,140,Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian,Papua New Guinea ,"-4.459022,152.682222",-4.459022,152.682222
Laboya,Vulnerable,">23,000",Austronesian; Malayo-Polynesian; Sumba-Hawu,Indonesia ,"-9.70, 119.34",-9.70, 119.34
Labu,Vulnerable,"1,600",Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-6.75,146.916666667",-6.75,146.916666667
Lacandon,Definitely endangered,563,Mayan; Yucatecan,Mexico ,"20.055931,-89.58252",20.055931,-89.58252
Lachi,Vulnerable,"5,000",Tai-Kadai; Kadai; Ge-Chi; Lachi,Vietnam ,"22.6666666667,104.833333333",22.6666666667,104.833333333
Ladakhi,Vulnerable,"150,000",Sino-Tibetan; Bodish,India China ,"34.0,78.0",34.0,78.0
Ladin,Vulnerable,"~20,000",Indo-European; Italic; Romance; Western Romance,Italy ,"46.5833333333,11.9166666667",46.5833333333,11.9166666667
Ladino,Vulnerable,"400,000",Indo-European; Italic; Romance; Western Romance,Turkey USA Israel Bulgaria Romania Puerto Rico Greece Macedonia Croatia Albania Bosnia and Herzegovina Serbia Morocco Algeria ,"40.0,33.0",40.0,33.0
Laeko-Libuat,Vulnerable,<538,Torricelli; Maimai,Papua New Guinea ,"-3.70, 142.24",-3.70, 142.24
Lafofa,Definitely endangered,600,Niger-Congo,Sudan ,"10.25,31.25",10.25,31.25
Laghuu,Definitely endangered,"<1,000",Sino-Tibetan; Lolo-Burmese,Vietnam ,"23.6166,105.6833",23.6166,105.6833
Laha (Indonesia),Vulnerable,"3,890",Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-3.71, 128.07",-3.71, 128.07
Laiyolo,Definitely endangered,800,Austronesian; Malayo-Polynesian; Celebic; Wotu-Wolio,Indonesia ,"-6.3862,120.4733",-6.3862,120.4733
Lakha,Vulnerable,"8,000",Sino-Tibetan; Bodish,Bhutan ,"27.488, 89.899",27.488, 89.899
Lakkia,Vulnerable,"9,000",Tai-Kadai; Kam-Tai; Lakkia-Kam-Sui; Lakkia,China ,"24.0833333333,110.166666667",24.0833333333,110.166666667
Lakon,Definitely endangered,800,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-14.251,167.422",-14.251,167.422
Lakota,Severely endangered,2000,Siouan; Mississippi Valley Siouan; Dakota,USA Canada ,"43.8333333333,-101.833333333",43.8333333333,-101.833333333
Lama,Definitely endangered,"15,000",Sino-Tibetan; Baic,China ,"29.159356,99.881936",29.159356,99.881936
